rdkit_library_standard_inchi_key,protein_name,Compound-protein pairs,Unique compound–Mu-type opioid receptor pairs:,% MOR compound-target-pairs,,rdkit_parent_structure_inchi_key,Unique_single_fragment_structures,,Column Names,Statistics Label,Statistics,Totals,,,,,,,
RJEUERNNQHNSKG-CCKFTAQKSA-N,Delta-type opioid receptor,,,,,WTPXLBTVBOBEDI-UHFFFAOYSA-N,,,,,,,,,,,,,
RJEUERNNQHNSKG-CCKFTAQKSA-N,Mu-type opioid receptor,,,,,GVRKQRSTDMXZGX-UHFFFAOYSA-N,,,,,,,,,,,,,
BFSKEMNZFARJEG-UAOJZALGSA-N,Delta-type opioid receptor,,,,,VEMKPSHWNYIGPG-UHFFFAOYSA-N,,,,,,,,,,,,,
HPZJMUBDEAMBFI-WTNAPCKOSA-N,Mu-type opioid receptor,,,,,DESSEGDLRYOPTJ-UHFFFAOYSA-N,,,,,,,,,,,,,
HPZJMUBDEAMBFI-WTNAPCKOSA-N,Kappa-type opioid receptor,,,,,ZXXWQHJJTYRVST-UHFFFAOYSA-N,,,,,,,,,,,,,
HPZJMUBDEAMBFI-WTNAPCKOSA-N,Delta-type opioid receptor,,,,,IBGXJQBCQGQXFQ-UHFFFAOYSA-N,,,,,,,,,,,,,
VUBAEISRKSELTE-OGPKSRJFSA-N,Mu-type opioid receptor,,,,,DSXQNAAVJJDPAE-UHFFFAOYSA-N,,,,,,,,,,,,,
VUBAEISRKSELTE-OGPKSRJFSA-N,Delta-type opioid receptor,,,,,VLURVJSCXULELD-BAWWGWNNSA-N,,,,,,,,,,,,,
INQWRMKPKQZIOZ-HOZBKMJVSA-N,Delta-type opioid receptor,,,,,PZWWYAHWHHNCHO-TWERNFBVSA-N,,,,,,,,,,,,,
MTTXEONPPSHVNT-CDYHHZRJSA-N,Mu-type opioid receptor,,,,,RKMDLNXNSVQXKI-CKUXNOBLSA-N,,,,,,,,,,,,,
MTTXEONPPSHVNT-CDYHHZRJSA-N,Delta-type opioid receptor,,,,,RXYSJDXUCZUPLZ-IBHWKQIPSA-N,,,,,,,,,,,,,
NKULLHQHASCPKR-CDYHHZRJSA-N,Mu-type opioid receptor,,,,,DBPFGWTUHBQYTM-VPJOFFEXSA-N,,,,,,,,,,,,,
NKULLHQHASCPKR-CDYHHZRJSA-N,Delta-type opioid receptor,,,,,GRHNSLXBGRDMSP-UHFFFAOYSA-N,,,,,,,,,,,,,
ZASPFNTXFLESNS-PLZPTFKGSA-N,Delta-type opioid receptor,,,,,VVCJNYSYOPCZJJ-BQXMOOCUSA-N,,,,,,,,,,,,,
IQGTUPXJLRMAOA-OHQNULFHSA-N,Delta-type opioid receptor,,,,,XKBZWKCWGFSOLR-BQXMOOCUSA-N,,,,,,,,,,,,,
IQGTUPXJLRMAOA-OHQNULFHSA-N,Mu-type opioid receptor,,,,,NYJNBEAFFCJSGV-JDJMQPQESA-N,,,,,,,,,,,,,
NTYJRAGMLUHRNV-DZGOFYRVSA-N,Delta-type opioid receptor,,,,,NUELKGKENOFLEP-IBULROEBSA-N,,,,,,,,,,,,,
NTYJRAGMLUHRNV-DZGOFYRVSA-N,Mu-type opioid receptor,,,,,MXGNDYOQTAQUSS-XRMCEDEESA-N,,,,,,,,,,,,,
YICNJKARNVERTG-LNMMVMNESA-N,Delta-type opioid receptor,,,,,QRTPPIOAYQKBJN-RBNVNNQDSA-N,,,,,,,,,,,,,
DSXDZHLLPRAKKT-XCRGKUJJSA-N,Delta-type opioid receptor,,,,,MUJYKGBDMXOPCE-JXXSSAAPSA-N,,,,,,,,,,,,,
DSXDZHLLPRAKKT-XCRGKUJJSA-N,Mu-type opioid receptor,,,,,ZCRGDVZWIYXXNX-LXBCQIIXSA-N,,,,,,,,,,,,,
XOXIGOYEWHFRCB-GORMCOKISA-N,Mu-type opioid receptor,,,,,JBEOSFADJDBJAO-UHFFFAOYSA-N,,,,,,,,,,,,,
WTPXLBTVBOBEDI-JURIQKAMSA-N,Mu-type opioid receptor,,,,,WSINNSBLQGGXAE-UHFFFAOYSA-N,,,,,,,,,,,,,
GVRKQRSTDMXZGX-VAQUTSCRSA-N,Delta-type opioid receptor,,,,,GVIRJSRJRJCCJE-QVYRDKSVSA-N,,,,,,,,,,,,,
GVRKQRSTDMXZGX-VAQUTSCRSA-N,Mu-type opioid receptor,,,,,VTPWDZUDVNYYBU-YOLCDMLRSA-N,,,,,,,,,,,,,
VEMKPSHWNYIGPG-OHNIKRKESA-N,Delta-type opioid receptor,,,,,YGSVZRIZCHZUHB-WKPIXPDZSA-N,,,,,,,,,,,,,
VEMKPSHWNYIGPG-OHNIKRKESA-N,Mu-type opioid receptor,,,,,OHNURQITZQKALN-KXDZFCSZSA-N,,,,,,,,,,,,,
DESSEGDLRYOPTJ-VRANXALZSA-N,Delta-type opioid receptor,,,,,IQGJBVSSFDCTAJ-HTAPYJJXSA-N,,,,,,,,,,,,,
DESSEGDLRYOPTJ-VRANXALZSA-N,Mu-type opioid receptor,,,,,ZVEGVBBCHZDLRJ-HTAPYJJXSA-N,,,,,,,,,,,,,
ZXXWQHJJTYRVST-JURIQKAMSA-N,Delta-type opioid receptor,,,,,YLFVOHQBMMEFKC-NDIDVLCKSA-N,,,,,,,,,,,,,
IBGXJQBCQGQXFQ-JURIQKAMSA-N,Mu-type opioid receptor,,,,,YLFVOHQBMMEFKC-MWKAYASPSA-N,,,,,,,,,,,,,
DSXQNAAVJJDPAE-KUSJRIKGSA-N,Delta-type opioid receptor,,,,,JHLHNYVMZCADTC-LOSJGSFVSA-N,,,,,,,,,,,,,
VLURVJSCXULELD-HVLWERHHSA-N,Delta-type opioid receptor,,,,,JKBQIULERLAVIF-BQVXCWBNSA-N,,,,,,,,,,,,,
PZWWYAHWHHNCHO-FGHAYEPSSA-N,Kappa-type opioid receptor,,,,,RSVBTLSIVBWMNF-UHFFFAOYSA-N,,,,,,,,,,,,,
PZWWYAHWHHNCHO-FGHAYEPSSA-N,Mu-type opioid receptor,,,,,ZQHXSPSYXBMABX-XKDCRVNJSA-N,,,,,,,,,,,,,
OQLWTYUBRVBKAG-JJXQBOQPSA-N,Kappa-type opioid receptor,,,,,CJMYGZTZUKJGEF-XTQVGHSUSA-N,,,,,,,,,,,,,
RXYSJDXUCZUPLZ-IBHWKQIPSA-N,Kappa-type opioid receptor,,,,,VKWYVNKUABAQRG-ABRORHJPSA-N,,,,,,,,,,,,,
SWHGKXQXAGNXOC-JHPYDATFSA-N,Delta-type opioid receptor,,,,,DUXFPSHFWAWGFG-YNUMGSQSSA-N,,,,,,,,,,,,,
GRHNSLXBGRDMSP-CZAAIQMYSA-N,Delta-type opioid receptor,,,,,OHIFKDNMHSXJFA-VKOJYCHDSA-N,,,,,,,,,,,,,
GRHNSLXBGRDMSP-CZAAIQMYSA-N,Mu-type opioid receptor,,,,,QLGHXIKDHMFEIR-NMGOFWFUSA-N,,,,,,,,,,,,,
LPOBQLQJMQSYLS-AUOFIJTBSA-N,Delta-type opioid receptor,,,,,MJYXXZICLYPENA-WTBOZYSNSA-N,,,,,,,,,,,,,
RISDLHKJXWFDQZ-AUOFIJTBSA-N,Mu-type opioid receptor,,,,,FAVQVALXVLMHLE-UHFFFAOYSA-N,,,,,,,,,,,,,
IPCFFDYBIXAVJM-NUDMNVKJSA-N,Delta-type opioid receptor,,,,,GRERSJXDCJKLDU-GFWLXOEUSA-N,,,,,,,,,,,,,
JRXRFOGCULVTMG-IZUGOAJKSA-N,Delta-type opioid receptor,,,,,BLVJRSYXUQVYGU-PRHRJOMZSA-N,,,,,,,,,,,,,
JRXRFOGCULVTMG-IZUGOAJKSA-N,Mu-type opioid receptor,,,,,YFKDDYKOGLKXSH-FXZPAHAQSA-N,,,,,,,,,,,,,
CGGYDIXQLUAENH-DZEWBRAUSA-N,Delta-type opioid receptor,,,,,XUYXSBCTKCHFMO-BXOOBUKZSA-N,,,,,,,,,,,,,
CGGYDIXQLUAENH-DZEWBRAUSA-N,Mu-type opioid receptor,,,,,FZFSEHRCJNQRIE-ISVMRZDUSA-N,,,,,,,,,,,,,
QRTPPIOAYQKBJN-WYNMOEERSA-N,Nociceptin receptor,,,,,WHLHPAOIEWMCRA-ISVMRZDUSA-N,,,,,,,,,,,,,
MUJYKGBDMXOPCE-CFUMCULZSA-N,Nociceptin receptor,,,,,LNHGYHTWTCRAMU-MODXFSQWSA-N,,,,,,,,,,,,,
ZCRGDVZWIYXXNX-QAOCYNJESA-N,Nociceptin receptor,,,,,QFHBAYMQVLMKAH-SSYAZFEXSA-N,,,,,,,,,,,,,
DMMNMIJPRNMLBQ-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,ZCANKGHYCWHDAH-PLYLYKGUSA-N,,,,,,,,,,,,,
WSINNSBLQGGXAE-ZEWNOJEFSA-N,Mu-type opioid receptor,,,,,RADOBVBWYWWWKV-UDKTZTBJSA-N,,,,,,,,,,,,,
GVIRJSRJRJCCJE-HCYVKCTOSA-N,Nociceptin receptor,,,,,VZHGAQSLJSYVIX-FXZPAHAQSA-N,,,,,,,,,,,,,
MAPAXBAKVFNWLC-MVSSEZNBSA-N,Kappa-type opioid receptor,,,,,AHXMJVFHPCQZOY-XYXHBKGXSA-N,,,,,,,,,,,,,
YGSVZRIZCHZUHB-WKPIXPDZSA-N,Mu-type opioid receptor,,,,,HYNYFKQSCKKARU-OZOSHOQESA-N,,,,,,,,,,,,,
OHNURQITZQKALN-KXDZFCSZSA-N,Kappa-type opioid receptor,,,,,JVLBPIPGETUEET-BKDZPPKTSA-O,,,,,,,,,,,,,
IQGJBVSSFDCTAJ-HTAPYJJXSA-N,Mu-type opioid receptor,,,,,IAPZDEZJKBZLCA-UHFFFAOYSA-N,,,,,,,,,,,,,
IQGJBVSSFDCTAJ-HTAPYJJXSA-N,Kappa-type opioid receptor,,,,,OUKVCJWCQRWLIJ-WZAMSAKFSA-N,,,,,,,,,,,,,
ZVEGVBBCHZDLRJ-HTAPYJJXSA-N,Mu-type opioid receptor,,,,,VMGFMOIZZDBILY-NQSCHXMMSA-N,,,,,,,,,,,,,
YLFVOHQBMMEFKC-NDIDVLCKSA-N,Delta-type opioid receptor,,,,,QBPGLGPDPFXICV-TWTVIXBGSA-N,,,,,,,,,,,,,
YLFVOHQBMMEFKC-MWKAYASPSA-N,Mu-type opioid receptor,,,,,RGYGFWCKRIHANQ-SHUAJMPHSA-N,,,,,,,,,,,,,
JHLHNYVMZCADTC-LOSJGSFVSA-N,Delta-type opioid receptor,,,,,OPLCYWPYFIJWRN-SHUAJMPHSA-N,,,,,,,,,,,,,
JHLHNYVMZCADTC-LOSJGSFVSA-N,Mu-type opioid receptor,,,,,WPWLYNPGSJQWTG-FCKHGHPRSA-N,,,,,,,,,,,,,
JKBQIULERLAVIF-BQVXCWBNSA-N,Delta-type opioid receptor,,,,,LFOULBUVHVTXRQ-RKXWTQJJSA-N,,,,,,,,,,,,,
JKBQIULERLAVIF-BQVXCWBNSA-N,Mu-type opioid receptor,,,,,FNQKCFAVVVIHTR-UYDDVAIWSA-N,,,,,,,,,,,,,
RSVBTLSIVBWMNF-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,VLUBSZRNSOYUGD-SHUAJMPHSA-N,,,,,,,,,,,,,
ZQHXSPSYXBMABX-XKDCRVNJSA-N,Mu-type opioid receptor,,,,,SLZHOAGZSUACQP-UYDDVAIWSA-N,,,,,,,,,,,,,
CJMYGZTZUKJGEF-XTQVGHSUSA-N,Delta-type opioid receptor,,,,,GOKRYXUMRXWEKJ-SHUAJMPHSA-N,,,,,,,,,,,,,
CJMYGZTZUKJGEF-XTQVGHSUSA-N,Kappa-type opioid receptor,,,,,PSYCNOCTJXDXOM-XAFBNBLVSA-N,,,,,,,,,,,,,
CJMYGZTZUKJGEF-XTQVGHSUSA-N,Mu-type opioid receptor,,,,,WPSMFHOVBQABMZ-SUYWFOPPSA-N,,,,,,,,,,,,,
VKWYVNKUABAQRG-ABRORHJPSA-N,Kappa-type opioid receptor,,,,,RIAOSVMITNWHAH-ZOKSWWLESA-N,,,,,,,,,,,,,
DUXFPSHFWAWGFG-YNUMGSQSSA-N,Kappa-type opioid receptor,,,,,AIMNNAYOYMPJBT-JXOQWRPTSA-N,,,,,,,,,,,,,
OHIFKDNMHSXJFA-XAOJMSMDSA-N,Mu-type opioid receptor,,,,,ZKOITTBBWXMGMR-RAWLKHAVSA-N,,,,,,,,,,,,,
OHIFKDNMHSXJFA-XAOJMSMDSA-N,Kappa-type opioid receptor,,,,,RRKBEHVGKUXZFH-UHFFFAOYSA-N,,,,,,,,,,,,,
QLGHXIKDHMFEIR-XAOJMSMDSA-N,Kappa-type opioid receptor,,,,,XKFMTFBISBVELP-FSFYJKNLSA-N,,,,,,,,,,,,,
MJYXXZICLYPENA-WTBOZYSNSA-N,Mu-type opioid receptor,,,,,PRTORGAXMSTSIY-UHFFFAOYSA-N,,,,,,,,,,,,,
FAVQVALXVLMHLE-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,YMVMXEIOULJWCY-UHFFFAOYSA-N,,,,,,,,,,,,,
GRERSJXDCJKLDU-GFWLXOEUSA-N,Mu-type opioid receptor,,,,,AEUNEVRUSYOPSO-UHFFFAOYSA-N,,,,,,,,,,,,,
BLVJRSYXUQVYGU-PRHRJOMZSA-N,Mu-type opioid receptor,,,,,QMSFTMNSMKWZSC-UHFFFAOYSA-N,,,,,,,,,,,,,
YFKDDYKOGLKXSH-FXZPAHAQSA-N,Delta-type opioid receptor,,,,,KMLNSQRMFQZLGN-UHFFFAOYSA-N,,,,,,,,,,,,,
XUYXSBCTKCHFMO-BXOOBUKZSA-N,Kappa-type opioid receptor,,,,,VLZWBYWNWNPNJR-UHFFFAOYSA-N,,,,,,,,,,,,,
XUYXSBCTKCHFMO-BXOOBUKZSA-N,Mu-type opioid receptor,,,,,RPJYDHKYCWHHOP-UHFFFAOYSA-N,,,,,,,,,,,,,
FZFSEHRCJNQRIE-ISVMRZDUSA-N,Kappa-type opioid receptor,,,,,XUWLAGNFLUARAN-UHFFFAOYSA-N,,,,,,,,,,,,,
FZFSEHRCJNQRIE-ISVMRZDUSA-N,Mu-type opioid receptor,,,,,GCPYMRLAZUYXLA-UHFFFAOYSA-N,,,,,,,,,,,,,
WHLHPAOIEWMCRA-ISVMRZDUSA-N,Kappa-type opioid receptor,,,,,NWDZARLHJWJMPM-UHFFFAOYSA-N,,,,,,,,,,,,,
WHLHPAOIEWMCRA-ISVMRZDUSA-N,Mu-type opioid receptor,,,,,NPLKRVKGYGQWKN-UHFFFAOYSA-N,,,,,,,,,,,,,
LNHGYHTWTCRAMU-MODXFSQWSA-N,Delta-type opioid receptor,,,,,PBEKHMJUJBBTHM-UHFFFAOYSA-N,,,,,,,,,,,,,
LNHGYHTWTCRAMU-MODXFSQWSA-N,Kappa-type opioid receptor,,,,,LRTMETRSFGLQOB-UHFFFAOYSA-N,,,,,,,,,,,,,
QFHBAYMQVLMKAH-RRPNLBNLSA-N,Kappa-type opioid receptor,,,,,VRZFYAJIAPJACS-RUQZGRDBSA-N,,,,,,,,,,,,,
QFHBAYMQVLMKAH-RRPNLBNLSA-N,Mu-type opioid receptor,,,,,LDLWBLOQKIBSDP-WXVAWEFUSA-N,,,,,,,,,,,,,
ZCANKGHYCWHDAH-WUFINQPMSA-N,Kappa-type opioid receptor,,,,,KQWVAUSXZDRQPZ-OREGWCPLSA-N,,,,,,,,,,,,,
ZCANKGHYCWHDAH-WUFINQPMSA-N,Mu-type opioid receptor,,,,,PMDOCPHNSYWIKM-WMPBOLDPSA-N,,,,,,,,,,,,,
ZCANKGHYCWHDAH-WUFINQPMSA-N,Delta-type opioid receptor,,,,,LZXRQLIIMYJZDA-UETOGOEVSA-N,,,,,,,,,,,,,
RADOBVBWYWWWKV-UDKTZTBJSA-N,Mu-type opioid receptor,,,,,XHUJQXLCJLMOGR-OEUYHZQVSA-N,,,,,,,,,,,,,
VZHGAQSLJSYVIX-FXZPAHAQSA-N,Kappa-type opioid receptor,,,,,UYMDVPDHNUCPSH-BKMJKUGQSA-N,,,,,,,,,,,,,
AHXMJVFHPCQZOY-XYXHBKGXSA-N,Mu-type opioid receptor,,,,,CUYUGMHVGXPLGA-YZIHRLCOSA-N,,,,,,,,,,,,,
HYNYFKQSCKKARU-OZOSHOQESA-N,Mu-type opioid receptor,,,,,LYCSRKIBELQQIZ-YZIHRLCOSA-N,,,,,,,,,,,,,
IFGIYSGOEZJNBE-KNLJMPJLSA-N,Delta-type opioid receptor,,,,,KQWVAUSXZDRQPZ-VHSZZVNMSA-N,,,,,,,,,,,,,
IAPZDEZJKBZLCA-YSLHKSLUSA-N,Mu-type opioid receptor,,,,,WGIDFDFAOQVAHY-UFPGJGBJSA-N,,,,,,,,,,,,,
ROQAGVQWRNDSGI-XFTNXAEASA-N,Mu-type opioid receptor,,,,,WLYRPZMYTPWHMM-UHFFFAOYSA-N,,,,,,,,,,,,,
ROQAGVQWRNDSGI-XFTNXAEASA-N,Delta-type opioid receptor,,,,,HHHAZGZTYBCEPX-QDLRQAPESA-N,,,,,,,,,,,,,
VMGFMOIZZDBILY-DMBLRCPMSA-N,Mu-type opioid receptor,,,,,LBLDMHBSVIVJPM-UHFFFAOYSA-N,,,,,,,,,,,,,
QBPGLGPDPFXICV-YQOCYVMFSA-N,Mu-type opioid receptor,,,,,UZHSEJADLWPNLE-OGLQFSJHSA-N,,,,,,,,,,,,,
RGYGFWCKRIHANQ-MUFAAYGBSA-N,Delta-type opioid receptor,,,,,ZYODTVOOPXEOHD-UJLGHMMASA-N,,,,,,,,,,,,,
RGYGFWCKRIHANQ-MUFAAYGBSA-N,Mu-type opioid receptor,,,,,GPKFTSBUGGLSHC-BRWVUGGUSA-N,,,,,,,,,,,,,
OPLCYWPYFIJWRN-MUFAAYGBSA-N,Delta-type opioid receptor,,,,,FOTIPSDEAZIQOX-GOTSBHOMSA-N,,,,,,,,,,,,,
OPLCYWPYFIJWRN-MUFAAYGBSA-N,Mu-type opioid receptor,,,,,CPQZLWPWUDCRPX-GTQPRSFASA-N,,,,,,,,,,,,,
WPWLYNPGSJQWTG-BNAYGLTLSA-N,Delta-type opioid receptor,,,,,FADXIKFNLNFDLC-UHFFFAOYSA-N,,,,,,,,,,,,,
WPWLYNPGSJQWTG-BNAYGLTLSA-N,Mu-type opioid receptor,,,,,JEULLQVXTDRYFU-UHFFFAOYSA-N,,,,,,,,,,,,,
LFOULBUVHVTXRQ-FHGVHELMSA-N,Delta-type opioid receptor,,,,,BYUQJNUSTSPWIV-UHFFFAOYSA-N,,,,,,,,,,,,,
LFOULBUVHVTXRQ-FHGVHELMSA-N,Mu-type opioid receptor,,,,,ILJAICMRHMTKBM-UHFFFAOYSA-N,,,,,,,,,,,,,
FNQKCFAVVVIHTR-HPSGNIKNSA-N,Delta-type opioid receptor,,,,,LRLJIVMILJUGBU-UHFFFAOYSA-N,,,,,,,,,,,,,
VLUBSZRNSOYUGD-MUFAAYGBSA-N,Mu-type opioid receptor,,,,,ANLPBQYTVZSEEV-HSLSYKTRSA-N,,,,,,,,,,,,,
SLZHOAGZSUACQP-HPSGNIKNSA-N,Mu-type opioid receptor,,,,,FYVOABSNOLJXJQ-UHFFFAOYSA-N,,,,,,,,,,,,,
GOKRYXUMRXWEKJ-MUFAAYGBSA-N,Delta-type opioid receptor,,,,,IEWRYHIJZPDFRH-FBQMUFCQSA-N,,,,,,,,,,,,,
GOKRYXUMRXWEKJ-MUFAAYGBSA-N,Mu-type opioid receptor,,,,,ZUVSIBRHCXOYOZ-YRISNDGFSA-N,,,,,,,,,,,,,
VLUBSZRNSOYUGD-MUFAAYGBSA-N,Delta-type opioid receptor,,,,,HSNRGCAFLLPJJV-KSFYIVLOSA-N,,,,,,,,,,,,,
PSYCNOCTJXDXOM-KEQINOFFSA-N,Delta-type opioid receptor,,,,,DSKWWUVQDXHXCE-FDDCHVKYSA-N,,,,,,,,,,,,,
PSYCNOCTJXDXOM-KEQINOFFSA-N,Mu-type opioid receptor,,,,,MLQRZXNZHAOCHQ-DENIHFKCSA-N,,,,,,,,,,,,,
WPSMFHOVBQABMZ-VWKWMHJASA-N,Mu-type opioid receptor,,,,,MLQRZXNZHAOCHQ-UGKGYDQZSA-N,,,,,,,,,,,,,
RIAOSVMITNWHAH-XDERILFOSA-N,Mu-type opioid receptor,,,,,FSIMYSAKEXUAHH-UHFFFAOYSA-N,,,,,,,,,,,,,
AIMNNAYOYMPJBT-RDPOUHODSA-N,Mu-type opioid receptor,,,,,IOSGXZKTOLVOTQ-AECGNCHPSA-N,,,,,,,,,,,,,
WPSMFHOVBQABMZ-RJILNQQKSA-N,Mu-type opioid receptor,,,,,SWFRGHVUTBNYJG-IBUFWLRQSA-N,,,,,,,,,,,,,
ZKOITTBBWXMGMR-VZNYXHRGSA-N,Delta-type opioid receptor,,,,,POKLLRDGINPLTC-PLYLYKGUSA-N,,,,,,,,,,,,,
ZKOITTBBWXMGMR-VZNYXHRGSA-N,Mu-type opioid receptor,,,,,WRQBKHSGYGWXFS-SSYAZFEXSA-N,,,,,,,,,,,,,
IEKPVCQUFXQDCE-GSDHBNRESA-N,Delta-type opioid receptor,,,,,VTURHVYLUFXVJQ-SSYAZFEXSA-N,,,,,,,,,,,,,
IEKPVCQUFXQDCE-GSDHBNRESA-N,Mu-type opioid receptor,,,,,MLGZKVPTJOZDIX-SSYAZFEXSA-N,,,,,,,,,,,,,
XKFMTFBISBVELP-YHDXOSERSA-N,Kappa-type opioid receptor,,,,,NOABNLDQRMOEBQ-FUJFQHJFSA-N,,,,,,,,,,,,,
PRTORGAXMSTSIY-LIONHTAISA-N,Delta-type opioid receptor,,,,,HALUMXPFEJPSDG-BDCODIICSA-N,,,,,,,,,,,,,
PRTORGAXMSTSIY-LIONHTAISA-N,Mu-type opioid receptor,,,,,BRNCXBYHVGQGCU-UHFFFAOYSA-N,,,,,,,,,,,,,
YMVMXEIOULJWCY-GVAUOCQISA-N,Delta-type opioid receptor,,,,,NCZYIAFSLYVJAE-UHFFFAOYSA-N,,,,,,,,,,,,,
YMVMXEIOULJWCY-GVAUOCQISA-N,Mu-type opioid receptor,,,,,WIBJTEFCRARSQT-UHFFFAOYSA-N,,,,,,,,,,,,,
AEUNEVRUSYOPSO-GVAUOCQISA-N,Delta-type opioid receptor,,,,,MDXGSFQPRAXXFR-AECGNCHPSA-N,,,,,,,,,,,,,
QMSFTMNSMKWZSC-DKLXNKCPSA-N,Delta-type opioid receptor,,,,,XFUINTRBXGWKEQ-ZESFWUBBSA-N,,,,,,,,,,,,,
QMSFTMNSMKWZSC-DKLXNKCPSA-N,Mu-type opioid receptor,,,,,ZDRADNOKATWGBW-UHFFFAOYSA-N,,,,,,,,,,,,,
KMLNSQRMFQZLGN-VSDWSMLSSA-N,Delta-type opioid receptor,,,,,HGNGRWBMZSEYMD-TXEYEHERSA-N,,,,,,,,,,,,,
KMLNSQRMFQZLGN-VSDWSMLSSA-N,Mu-type opioid receptor,,,,,VTNMTWBEHGIRGV-UHFFFAOYSA-N,,,,,,,,,,,,,
VLZWBYWNWNPNJR-GVAUOCQISA-N,Mu-type opioid receptor,,,,,VWSDZLWAIZCEJG-FFGQRACBSA-N,,,,,,,,,,,,,
VLZWBYWNWNPNJR-GVAUOCQISA-N,Delta-type opioid receptor,,,,,MUCJBMLSOAIPBH-UHFFFAOYSA-N,,,,,,,,,,,,,
